iter	RMSE
0	0.7961285034
1	0.7857842866
2	0.7769416985
3	0.7684446087
4	0.7597276881
5	0.7517250236
6	0.7435545869
7	0.7350905099
8	0.7283219935
9	0.7228338306
10	0.7168205912
11	0.7104878069
12	0.7051538239
13	0.6990219323
14	0.6932417241
15	0.6881808423
16	0.6839172131
17	0.6794440068
18	0.674639993
19	0.670019167
20	0.6664189753
21	0.6627700754
22	0.6590711259
23	0.6562109855
24	0.6530942236
25	0.6498232173
26	0.6471768864
27	0.6436748776
28	0.6409874455
29	0.6380555816
30	0.6356719249
31	0.6334198045
32	0.6304694474
33	0.628096561
34	0.6260208193
35	0.6241840226
36	0.6222244001
37	0.6199129094
38	0.6183739922
39	0.6163717452
40	0.614455139
41	0.6127819067
42	0.6103037365
43	0.6085638226
44	0.6068129406
45	0.6054329255
46	0.6038342218
47	0.6022463191
48	0.6006385752
49	0.5989744932
50	0.5973925663
51	0.5961745185
52	0.5950759061
53	0.5939283058
54	0.5930137185
55	0.5916962833
56	0.590249518
57	0.5889551287
58	0.5877276013
59	0.5869163946
60	0.5853417631
61	0.5840432513
62	0.5833621333
63	0.5824980616
64	0.5813009169
65	0.5800060914
66	0.5791253268
67	0.5781406154
68	0.5773660373
69	0.5761638612
70	0.5748194565
71	0.573879923
72	0.5730663497
73	0.5718312672
74	0.5707496041
75	0.5701327749
76	0.569605943
77	0.569122441
78	0.568664702
79	0.5677729375
80	0.5669176805
81	0.5660756552
82	0.5656362123
83	0.5650938053
84	0.5645316154
85	0.5630963381
86	0.5626007379
87	0.5618270604
88	0.5611835465
89	0.5603305687
90	0.559728775
91	0.559038913
92	0.5582270381
93	0.55679874
94	0.5559994934
95	0.5554026769
96	0.5551418356
97	0.5543992023
98	0.5538211543
99	0.5531691022
100	0.5525998053
101	0.551747995
102	0.551168229
103	0.5505071551
104	0.5497066161
105	0.5492528561
106	0.5487302086
107	0.5477205264
108	0.5469124101
109	0.5459889089
110	0.5455660752
111	0.5448602741
112	0.5443348695
113	0.544179638
114	0.543857625
115	0.5433132557
116	0.5420147076
117	0.5415703845
118	0.540947131
119	0.5402601159
120	0.5395769228
121	0.5387142425
122	0.5382392657
123	0.5374727168
124	0.5369738711
125	0.5363134432
126	0.5360452465
127	0.5354349445
128	0.5349730459
129	0.534208496
130	0.5336866472
131	0.5332575162
132	0.5328518915
133	0.5320523204
134	0.5314915376
135	0.5310458468
136	0.5302517879
137	0.5296290717
138	0.5291650467
139	0.5283033386
140	0.5279480955
141	0.5270994371
142	0.5267892902
143	0.5262364625
144	0.5258146503
145	0.5252409377
146	0.5248788908
147	0.5241266128
148	0.5234518338
149	0.5231645931
150	0.5227107455
151	0.5222487469
152	0.5219729567
153	0.5216226036
154	0.5208687555
155	0.5204412438
156	0.520286651
157	0.5194280021
158	0.5189697842
159	0.5185278372
160	0.5181545659
161	0.5179263754
162	0.5177045927
163	0.5174833717
164	0.5170862753
165	0.5166575787
166	0.5159871219
167	0.5153807622
168	0.5149449164
169	0.5148780833
170	0.514660744
171	0.5141314278
172	0.5136699458
173	0.5131943822
174	0.5126940387
175	0.5122093338
176	0.5115158174
177	0.5112574723
178	0.5106649649
179	0.51055225
180	0.5101277161
181	0.5099583457
182	0.5090927227
183	0.508443064
184	0.5080729004
185	0.5073880585
186	0.5072290706
187	0.506990546
188	0.5067275566
189	0.5060007847
190	0.50587076
191	0.5058050841
192	0.505768249
193	0.505636789
194	0.5054725169
195	0.5048975412
196	0.5044193888
197	0.5042531706
198	0.5040102287
199	0.5031604707
200	0.5029889631
201	0.5023100863
202	0.5022522047
203	0.5021660789
204	0.5017350069
205	0.5016689395
206	0.5013661081
207	0.5010397253
208	0.500868687
209	0.5007756781
210	0.5007105958
211	0.4996702286
212	0.4996051364
213	0.4990912565
214	0.4990281848
215	0.4984472039
216	0.49756717
217	0.4975074162
218	0.4974488931
219	0.4967232581
220	0.4966537498
221	0.4960733149
222	0.4960182925
223	0.4952327723
224	0.4946425171
225	0.4945490303
226	0.4938113395
227	0.4932369644
228	0.4931866171
229	0.4925137377
230	0.4917916569
231	0.4917296031
232	0.491666829
233	0.4910257513
234	0.4903042241
235	0.4897245548
236	0.4890210121
237	0.4883144628
238	0.4874669669
239	0.487416827
240	0.4867468341
241	0.4867030443
242	0.4866483382
243	0.486309729
244	0.4862626694
245	0.485664035
246	0.4856128126
247	0.4848205696
248	0.4847718442
249	0.483575651
250	0.4835277181
251	0.4829973178
252	0.4825626304
253	0.482002907
254	0.4819603122
255	0.4815123508
256	0.4814704304
257	0.4814295519
258	0.4809231519
259	0.4798030015
260	0.4797669045
261	0.4789288311
262	0.4785441336
263	0.4780168504
264	0.4779785207
265	0.4768481467
266	0.4768102267
267	0.4762377503
268	0.4762019499
269	0.4755012622
270	0.4747864297
271	0.4736794581
272	0.4732941357
273	0.4726266772
274	0.4721635968
275	0.4716354976
276	0.4708376097
277	0.4702024132
278	0.470167032
279	0.4694429452
280	0.4687925584
281	0.4687582633
282	0.4679767973
283	0.4679441413
284	0.4679115007
285	0.4673781871
286	0.4669797664
287	0.4662631032
288	0.4657581916
289	0.4652339608
290	0.4647029686
291	0.4638250893
292	0.4637898157
293	0.4637595615
294	0.463211887
295	0.4625724954
296	0.4625388072
297	0.4619389478
298	0.4610460826
299	0.4602414926
300	0.4597805093
301	0.4588303065
302	0.4580209072
303	0.4579888655
304	0.4573691998
305	0.4569842147
306	0.4562299672
307	0.4562022914
308	0.4552857975
309	0.4546260352
310	0.4540279998
311	0.4531127848
312	0.4521364565
313	0.4511552031
314	0.4503578028
315	0.4497194765
316	0.4496929265
317	0.4491252099
318	0.4490952678
319	0.4490696017
320	0.4486102522
321	0.4481521002
322	0.4471739771
323	0.4468191927
324	0.4461050851
325	0.4458203638
326	0.4455299284
327	0.4451879496
328	0.4444736497
329	0.4434676744
330	0.4429470312
331	0.4422141442
332	0.4413352225
333	0.4406013603
334	0.4398756673
335	0.4395144273
336	0.4391675714
337	0.4383064859
338	0.4376352132
339	0.4372871257
340	0.4366183643
341	0.4362008056
342	0.4355427393
343	0.4352103771
344	0.4345174407
345	0.4339653476
346	0.4336511893
347	0.4334322011
348	0.4334123033
349	0.4331281755
350	0.4327008149
351	0.4318891072
352	0.4311060647
353	0.4307849703
354	0.4304454317
355	0.4295901206
356	0.4291974184
357	0.4288705786
358	0.4283222809
359	0.4282992611
360	0.4279450018
361	0.4275454796
362	0.427289914
363	0.426809339
364	0.4261827368
365	0.4259822351
366	0.4250752035
367	0.4247157593
368	0.4239125527
369	0.4228960303
370	0.4220006917
371	0.4215511395
372	0.4209021174
373	0.4201745491
374	0.4194236131
375	0.4191207725
376	0.418362854
377	0.4180376195
378	0.4177425965
379	0.4172450052
380	0.4168623571
381	0.4160628812
382	0.4156434628
383	0.4152318314
384	0.4145076728
385	0.4139783305
386	0.4131114652
387	0.4128270462
388	0.4121657132
389	0.4115073563
390	0.4105384798
391	0.4098176913
392	0.4095611759
393	0.4089536295
394	0.4086001562
395	0.4083626796
396	0.4077201891
397	0.4073379044
398	0.4071360483
399	0.4069981168
400	0.4066335386
401	0.4060787808
402	0.4053244251
403	0.4045742085
404	0.4042756118
405	0.4040351624
406	0.4037405332
407	0.4033754058
408	0.4030629442
409	0.4021852942
410	0.4019895875
411	0.4012703188
412	0.4008408777
413	0.4003317183
414	0.3995901344
415	0.3989786771
416	0.3982468881
417	0.3976415313
418	0.397178844
419	0.3968414349
420	0.3968210151
421	0.3963790593
422	0.3958657749
423	0.3956882205
424	0.3953096646
425	0.3950869042
426	0.3943297217
427	0.393939414
428	0.3935253164
429	0.3928349325
430	0.3923598159
431	0.3918159075
432	0.3912601863
433	0.3911407807
434	0.3909085829
435	0.3903636758
436	0.389848983
437	0.3896846324
438	0.3892015318
439	0.3882737375
440	0.3879274616
441	0.3874724313
442	0.3872003925
443	0.3869531483
444	0.3867300664
445	0.3861745896
446	0.3859877591
447	0.3855892497
448	0.3850812465
449	0.3850593359
450	0.3843927853
451	0.3837938491
452	0.3830597539
453	0.3825709727
454	0.381687455
455	0.3810413758
456	0.3806134143
457	0.3801959386
458	0.3796263001
459	0.3791495423
460	0.3790637551
461	0.3787423757
462	0.3783490259
463	0.378227724
464	0.3774285178
465	0.376878619
466	0.3763435162
467	0.3756987528
468	0.3750147053
469	0.3749263112
470	0.3746849567
471	0.3741071822
472	0.373868076
473	0.3735980012
474	0.3730756256
475	0.3727271095
476	0.3724731519
477	0.3720919245
478	0.3716316061
479	0.3712320826
480	0.3708424173
481	0.3701551922
482	0.3696982083
483	0.3693991233
484	0.3691020633
485	0.3688091707
486	0.3681626783
487	0.3677363377
488	0.367584249
489	0.3672900225
490	0.3670499693
491	0.3668610455
492	0.3661022882
493	0.3656686054
494	0.3652546694
495	0.3648801909
496	0.3644432867
497	0.363957246
498	0.3633704723
499	0.3627491593
500	0.3623400831
501	0.3615623233
502	0.3612836743
503	0.3612145672
504	0.3608285412
505	0.3603097041
506	0.3597614641
507	0.3592963528
508	0.3588004323
509	0.3586192129
510	0.3579228712
511	0.3573831548
512	0.3572995215
513	0.3570394309
514	0.3566208293
515	0.3563497505
516	0.3558705364
517	0.3553153066
518	0.3549268131
519	0.3542241304
520	0.3533823914
521	0.3531533387
522	0.3526534668
523	0.3522989559
524	0.3517422219
525	0.3510764144
526	0.3507683217
527	0.3504023309
528	0.3498064948
529	0.3495922722
530	0.3493556702
531	0.3489714291
532	0.3487519343
533	0.3484703047
534	0.3482004503
535	0.3477621787
536	0.3472505295
537	0.3468144868
538	0.3464141188
539	0.3460002585
540	0.3457265784
541	0.3453355912
542	0.3449474069
543	0.3445913207
544	0.3441955322
545	0.3438708439
546	0.3433352725
547	0.3426676036
548	0.3425761822
549	0.3419940941
550	0.341671874
551	0.3413420132
552	0.3411334039
553	0.3408515827
554	0.3403145796
555	0.3397287626
556	0.3394493754
557	0.3389011193
558	0.3387592381
559	0.3382245279
560	0.3380224409
561	0.3377544609
562	0.3374689089
563	0.3372502025
564	0.3368923205
565	0.336505732
566	0.3360820702
567	0.335997347
568	0.3356269229
569	0.3355553388
570	0.3352017678
571	0.3349592787
572	0.3344881862
573	0.3341708286
574	0.3339872443
575	0.3334284145
576	0.3329966059
577	0.3324333865
578	0.3321893543
579	0.3316428548
580	0.3315496208
581	0.3315137671
582	0.3312924438
583	0.3309720188
584	0.3303628597
585	0.3299972559
586	0.3296467941
587	0.3291880067
588	0.3287887587
589	0.3282371432
590	0.328039739
591	0.3273802259
592	0.3272188661
593	0.3267088314
594	0.3262075321
595	0.3257532436
596	0.3251843743
597	0.3249218388
598	0.3246112128
599	0.3245692718
600	0.3244306698
601	0.3237967385
602	0.3232171827
603	0.3228966918
604	0.3222789099
605	0.322022514
606	0.3217308396
607	0.3212740206
608	0.3210154093
609	0.3204264155
610	0.3200443418
611	0.3196626599
612	0.3190866154
613	0.3186785722
614	0.3182574757
615	0.3179699726
616	0.3176952569
617	0.317384372
618	0.3167948011
619	0.3162508203
620	0.3159122583
621	0.3156756047
622	0.3152281272
623	0.3150012272
624	0.3145750487
625	0.3143439284
626	0.3142325421
627	0.314047784
628	0.31358583
629	0.3133515075
630	0.3129566678
631	0.3127049811
632	0.3124583142
633	0.3120145333
634	0.3116372779
635	0.3113069353
636	0.3107487424
637	0.3105721754
638	0.3102377527
639	0.3098472926
640	0.3097481814
641	0.3092703953
642	0.3087781838
643	0.3084096765
644	0.3082481897
645	0.3081122502
646	0.3079559421
647	0.3075646271
648	0.3070588802
649	0.306823186
650	0.3064001001
651	0.3060796833
652	0.3057982647
653	0.3055049542
654	0.3052740124
655	0.3049758114
656	0.3048181653
657	0.304333834
658	0.3040778586
659	0.303854416
660	0.3037287091
661	0.3033056774
662	0.3030062639
663	0.3024779918
664	0.3023660115
665	0.3022105199
666	0.3019314581
667	0.3015600078
668	0.3011617271
669	0.3008403306
670	0.3004918838
671	0.3000086715
672	0.2995769564
673	0.299112895
674	0.2986958644
675	0.298482489
676	0.2979715168
677	0.2974833892
678	0.2971095679
679	0.2966585077
680	0.2961734572
681	0.2959236669
682	0.2956104918
683	0.2952356225
684	0.2950210383
685	0.2947942771
686	0.2944369867
687	0.2939679114
688	0.2937268214
689	0.2932841164
690	0.2928058057
691	0.292680714
692	0.2923723622
693	0.2922607289
694	0.2919363458
695	0.2915608972
696	0.2912445224
697	0.2911752723
698	0.2906418946
699	0.2902557437
700	0.2899163382
701	0.2894318556
702	0.2889247085
703	0.2885978749
704	0.2882052891
705	0.2879227475
706	0.2876110129
707	0.287551085
708	0.2874110007
709	0.2870311746
710	0.2867394052
711	0.2864083939
712	0.2861149902
713	0.2857924793
714	0.2853529233
715	0.2850798885
716	0.2850231682
717	0.2847123973
718	0.2843876629
719	0.2841818898
720	0.284024519
721	0.2838696325
722	0.2836211512
723	0.2833677142
724	0.2829993876
725	0.2827385119
726	0.2824904499
727	0.2822184083
728	0.2821246609
729	0.281866023
730	0.2815088666
731	0.2811992837
732	0.2807598756
733	0.2806633195
734	0.2804100747
735	0.280120878
736	0.2799421422
737	0.2798208966
738	0.2796647167
739	0.2795894417
740	0.2793078203
741	0.2791044752
742	0.2789186884
743	0.2785395255
744	0.2784176804
745	0.2781037683
746	0.2778548998
747	0.2775664921
748	0.277149746
749	0.2769719805
750	0.2768139862
751	0.2764755933
752	0.2762839333
753	0.275992487
754	0.2757739655
755	0.2753568588
756	0.2751255763
757	0.2746593545
758	0.2744328774
759	0.2740102239
760	0.2737660622
761	0.2734361359
762	0.2731023488
763	0.2728967151
764	0.272627983
765	0.2722992392
766	0.2721447777
767	0.2717376073
768	0.2714910607
769	0.2711235339
770	0.2707290613
771	0.2706909045
772	0.2702339554
773	0.2700391704
774	0.2696587887
775	0.2694104486
776	0.269202274
777	0.2688547173
778	0.2684696637
779	0.2683775853
780	0.2680871736
781	0.2678465522
782	0.2674788031
783	0.2672227102
784	0.2671019267
785	0.2668216215
786	0.2665505731
787	0.266103354
788	0.2658977075
789	0.2656847473
790	0.2654626958
791	0.265048439
792	0.2648288307
793	0.2644252994
794	0.2642133442
795	0.2639348013
796	0.2637988806
797	0.2636138945
798	0.263151491
799	0.2630150257
800	0.2628137091
801	0.2624471988
802	0.2622635471
803	0.2621128456
804	0.2620405063
805	0.2618012347
806	0.261363806
807	0.2612224412
808	0.2610867477
809	0.2609024678
810	0.260530951
811	0.2602797927
812	0.2600331985
813	0.2597055473
814	0.259478515
815	0.2593140327
816	0.2589235219
817	0.2587483601
818	0.2585695513
819	0.2583187719
820	0.2578655539
821	0.2575790677
822	0.2574455832
823	0.257286562
824	0.2570561723
825	0.2569484045
826	0.2566911491
827	0.2566157344
828	0.2562218841
829	0.2557977388
830	0.2553490561
831	0.2552111665
832	0.255013067
833	0.2546560592
834	0.2543616825
835	0.2540826983
836	0.2537508849
837	0.2532367765
838	0.2531091465
839	0.252841753
840	0.2524311653
841	0.2522798044
842	0.2519748276
843	0.2516038174
844	0.2514185395
845	0.2512411509
846	0.2510478311
847	0.2509277405
848	0.2508067961
849	0.250578279
850	0.2502399824
851	0.2498613915
852	0.2495623747
853	0.249322607
854	0.249136141
855	0.2489724001
856	0.2485103062
857	0.2483346349
858	0.2481673448
859	0.2478891834
860	0.2476067254
861	0.2473471886
862	0.2471067712
863	0.2469137931
864	0.2467811668
865	0.2465323925
866	0.246316357
867	0.2462524468
868	0.2460593883
869	0.2457198898
870	0.2452938793
871	0.2451049263
872	0.2449710592
873	0.2448273714
874	0.2445852412
875	0.2444558322
876	0.2441826464
877	0.2439301469
878	0.2437186798
879	0.2435801624
880	0.2432018557
881	0.2428444195
882	0.242632384
883	0.2422305834
884	0.2418739711
885	0.2418356045
886	0.241532703
887	0.2412672475
888	0.2410842365
889	0.2408596792
890	0.2405790233
891	0.2404298285
892	0.2402600617
893	0.2401390194
894	0.2396821213
895	0.2393795814
896	0.239181003
897	0.2389364286
898	0.2386865666
899	0.2383346729
900	0.2380947823
901	0.2379548664
902	0.2376954541
903	0.2375466107
904	0.2374324401
905	0.2372790819
906	0.2371722676
907	0.237007341
908	0.2368344421
909	0.2365913806
910	0.2364905253
911	0.2362566352
912	0.2361632164
913	0.2359869107
914	0.2356394206
915	0.2356026435
916	0.2355119027
917	0.2352744903
918	0.2349875991
919	0.2347573625
920	0.2346041964
921	0.2344177907
922	0.2342710846
923	0.2341721656
924	0.2339443681
925	0.2338366101
926	0.2334165083
927	0.2331727155
928	0.2328653227
929	0.2327673111
930	0.2324498217
931	0.2322183816
932	0.2320121153
933	0.2318211865
934	0.2316689366
935	0.2314087708
936	0.2311621686
937	0.231104221
938	0.2308727032
939	0.2308444015
940	0.230633514
941	0.2304992167
942	0.230298344
943	0.2301174837
944	0.2299584339
945	0.2298823154
946	0.2295836959
947	0.2294258898
948	0.2292064726
949	0.2290626985
950	0.2289411741
951	0.2286035584
952	0.2282974813
953	0.2281204507
954	0.2280126862
955	0.2278883559
956	0.2276050421
957	0.2274239391
958	0.2272370295
959	0.2271295646
960	0.2268846187
961	0.2266860738
962	0.2265639391
963	0.2264223292
964	0.2262923881
965	0.2261237203
966	0.2258167486
967	0.2256820252
968	0.225546369
969	0.2255148092
970	0.2253150225
971	0.2251029346
972	0.2249132154
973	0.2248380828
974	0.2245416422
975	0.224205425
976	0.2240872946
977	0.2238920159
978	0.2237174746
979	0.2234658602
980	0.2233421982
981	0.2231820355
982	0.2230182007
983	0.2227031911
984	0.222540323
985	0.2222957597
986	0.2220716929
987	0.221976
988	0.2216540743
989	0.2213362414
990	0.2212959519
991	0.220944221
992	0.2207243413
993	0.2206579171
994	0.2203930567
995	0.2201433549
996	0.2198499668
997	0.2196307568
998	0.2194517917
999	0.2191957561
